;Day;NDWI
189;04/10/2018;0,128734667
190;05/10/2018;0,068004668
191;06/10/2018;0,103090693
192;07/10/2018;0,13023097
193;08/10/2018;0,101670872
194;09/10/2018;0,095445472
195;10/10/2018;0,13
196;11/10/2018;0,121024448
197;12/10/2018;0,131318282
198;13/10/2018;0,115455305
199;14/10/2018;0,189168243
200;15/10/2018;0,246223979
201;16/10/2018;0,178349594
202;17/10/2018;0,147640593
203;18/10/2018;0,115077481
204;19/10/2018;0,166232227
205;20/10/2018;0,132349411
206;21/10/2018;0,139007694
207;22/10/2018;0,303879934
208;23/10/2018;0,4
209;24/10/2018;0,306369273
210;25/10/2018;0,26
211;26/10/2018;0,207488921
212;27/10/2018;0,229108676
213;28/10/2018;0,17078345
214;29/10/2018;0,181651269
215;30/10/2018;0,39
216;31/10/2018;0,434375702
217;01/11/2018;0,301009263
218;02/11/2018;0,328101798
219;03/11/2018;0,252413609
220;04/11/2018;0,293612113
221;05/11/2018;0,357353033
222;06/11/2018;0,277296687
223;07/11/2018;0,17
224;08/11/2018;0,328520841
225;09/11/2018;0,36
226;10/11/2018;0,303282475
227;11/11/2018;0,323208428
228;12/11/2018;0,39
229;13/11/2018;0,351822873
230;14/11/2018;0,33
231;15/11/2018;0,361842345
232;16/11/2018;0,360367453
233;17/11/2018;0,372966364
234;18/11/2018;0,412367205
235;19/11/2018;0,247314667
236;20/11/2018;0,220757935
237;21/11/2018;0,328612294
238;22/11/2018;0,44
239;23/11/2018;0,390313973
240;24/11/2018;0,36
241;25/11/2018;0,286599235
242;26/11/2018;0,306802472
243;27/11/2018;0,43607983
244;28/11/2018;0,485618853
245;29/11/2018;0,463005569
246;30/11/2018;0,459485154
247;01/12/2018;0,445703501
248;02/12/2018;0,379992886
249;03/12/2018;0,405809623
250;04/12/2018;0,414996002
251;05/12/2018;0,41583571
252;06/12/2018;0,486007712
253;07/12/2018;0,41
254;08/12/2018;0,429399548
255;09/12/2018;0,5
256;10/12/2018;0,469737322
257;11/12/2018;0,554743126
258;12/12/2018;0,488915723
259;13/12/2018;0,459123714
260;14/12/2018;0,49659297
261;15/12/2018;0,481547971
262;16/12/2018;0,511038103
263;17/12/2018;0,45
264;18/12/2018;0,493179261
265;19/12/2018;0,53
266;20/12/2018;0,48832239
267;21/12/2018;0,490947652
268;22/12/2018;0,53
269;23/12/2018;0,467447718
270;24/12/2018;0,48
271;25/12/2018;0,472449984
272;26/12/2018;0,526136869
273;27/12/2018;0,47
274;28/12/2018;0,511208759
275;29/12/2018;0,509262873
276;30/12/2018;0,495553638
277;31/12/2018;0,495585868
278;01/01/2019;0,509050912
279;02/01/2019;0,533292565
280;03/01/2019;0,568848347
281;04/01/2019;0,602362261
282;05/01/2019;0,572770878
283;06/01/2019;0,563676767
284;07/01/2019;0,530647654
285;08/01/2019;0,55
286;09/01/2019;0,524304313
287;10/01/2019;0,532447672
288;11/01/2019;0,59
289;12/01/2019;0,552521795
